Year	DoY	Hour	NEE	PAR	T10
-	-	-	umolm-2s-1	umolm-2s-1	degC
2021	6	8	0.11795891	0.108	0.931
2021	6	8.5	0.12260944	0.125	0.931
2021	6	9	0.07383936	0.612	0.93
2021	6	9.5	0.15321866	2.814	0.93
2021	6	10	0.15692548	6.838	0.929
2021	6	10.5	0.14502978	10.66	0.93
2021	6	11	0.15222724	14.53	0.931
2021	6	11.5	0.13941492	16.91	0.929
2021	6	12	0.11157851	17.2	0.936
2021	6	12.5	0.10562872	16.54	0.932
2021	6	13	0.1130893	12.95	0.923
2021	6	13.5	0.11019015	9.99	0.959
2021	6	14	0.11216739	5.836	0.943
2021	6	14.5	0.0889053	2.666	0.922
2021	6	15	0.10484038	0.687	0.935
2021	6	15.5	0.10525968	0.198	0.942
2021	6	16	0.10101351	0.104	0.923
2021	6	16.5	0.10156112	0.139	0.938
2021	6	17	0.10764369	0.187	0.938
2021	6	17.5	0.09991737	0.146	0.938
2021	6	18	0.10610013	0.153	0.936
2021	6	18.5	0.10234835	0.174	0.936
2021	6	19	0.10951284	0.158	0.935
2021	6	19.5	0.11217282	0.127	0.935
2021	6	20	0.1296915	0.15	0.936
2021	6	20.5	0.12425184	0.085	0.936
2021	6	21	0.130518	0.047	0.934
2021	6	21.5	0.12618211	0.057	0.935
2021	6	22	0.12081467	0.046	0.939
2021	6	22.5	0.11281887	0.055	0.939
2021	6	23	0.11549478	0.09	0.939
2021	6	23.5	0.051872	0.099	0.942
2021	7	0	0.10126247	0.079	0.941
2021	7	0.5	0.14566012	0.098	0.941
2021	7	1	0.1311413	0.134	0.939
2021	7	1.5	0.14165492	0.135	0.939
2021	7	2	0.12506466	0.131	0.938
2021	7	2.5	0.05498005	0.088	0.938
2021	7	3	0.08646459	0.071	0.938
2021	7	3.5	0.08646459	0.067	0.939
2021	7	4	0.11483309	0.119	0.938
2021	7	4.5	0.08966915	0.161	0.938
2021	7	5	0.09839454	0.166	0.94
2021	7	5.5	0.12205235	0.141	0.94
2021	7	6	0.17057791	0.15	0.939
2021	7	6.5	0.12691221	0.144	0.94
2021	7	7	0.13993844	0.132	0.938
2021	7	7.5	0.13725542	0.113	0.938
2021	7	8	0.13378263	0.117	0.94
2021	7	8.5	0.14672005	0.138	0.936
2021	7	9	0.14327562	0.277	0.938
2021	7	9.5	0.12809427	1.126	0.94
2021	7	10	0.16856435	4.479	0.938
2021	7	10.5	0.10145289	7.395	0.942
2021	7	11	0.1001908	11.81	0.945
2021	7	11.5	0.133194	13.74	0.946
2021	7	12	0.14909862	14.6	0.943
2021	7	12.5	0.1513405	13.73	0.938
2021	7	13	0.2653574	12.28	0.938
2021	7	13.5	0.30847325	9.24	0.939
2021	7	14	0.28448366	5.134	0.94
2021	7	14.5	0.17023194	2.467	0.94
2021	7	15	0.25937529	0.625	0.94
2021	7	15.5	0.13926215	0.127	0.94
2021	7	16	0.13713166	0.062	0.941
2021	7	16.5	0.12074532	0.055	0.941
2021	7	17	0.11471963	0.039	0.942
2021	7	17.5	0.11246142	0.031	0.94
2021	7	18	0.10908522	0.037	0.943
2021	7	18.5	0.10813316	0.039	0.943
2021	7	19	0.111556	0.049	0.939
2021	7	19.5	0.1070461	0.045	0.941
2021	7	20	0.10619301	0.053	0.937
2021	7	20.5	0.11344908	0.039	0.936
2021	7	21	0.11338934	0.063	0.936
2021	7	21.5	0.10485302	0.185	0.942
2021	7	22	0.10684662	0.031	0.94
2021	7	22.5	0.10081984	0.041	0.939
2021	7	23	0.10474321	0.062	0.939
2021	7	23.5	0.103946	0.066	0.94
2021	8	0	0.07106792	0.044	0.939
2021	8	0.5	0.09868138	0.04	0.942
2021	8	1	0.08238268	0.041	0.94
