site,date,tair,tsoil_10cm,WTD,PARin
SE-Hmr,2021-07-08,19.967291666666668,19.310104166666665,-16.653125,637.0251041666667
SE-Hmr,2021-07-09,19.855625,19.1484375,-17.739583333333332,630.6556666666667
SE-Hmr,2021-07-10,18.763125,18.637291666666666,-18.458333333333332,376.26891666666666
SE-Hmr,2021-07-11,17.882083333333334,18.30291666666667,-12.838541666666666,289.44864583333333
SE-Hmr,2021-07-12,19.036041666666666,18.649270833333333,-13.980208333333334,648.7906041666666
SE-Hmr,2021-07-13,20.148125,19.189479166666665,-15.607291666666667,654.0944583333334
SE-Hmr,2021-07-14,20.45625,19.491145833333334,-16.17395833333333,491.59108333333336
SE-Hmr,2021-07-15,17.919583333333332,19.243020833333333,-15.658333333333333,319.945625
SE-Hmr,2021-07-16,14.772083333333333,18.009791666666665,-17.21666666666667,615.6814583333334
SE-Hmr,2021-07-17,16.6025,17.65875,-18.036458333333332,424.2156875
SE-Hmr,2021-07-18,12.76125,17.24020833333333,-10.838541666666666,475.5023541666667
SE-Hmr,2021-07-19,12.432708333333332,16.389583333333334,-12.284375,471.32570833333335
SE-Hmr,2021-07-20,12.164166666666667,15.998333333333333,-13.803125,511.6936875
SE-Hmr,2021-07-21,12.021604166666666,15.512604166666666,-15.184375,555.7383333333333
SE-Hmr,2021-07-22,13.239791666666667,15.498854166666666,-16.102083333333333,323.57529166666666
SE-Hmr,2021-07-23,13.062875,15.254583333333333,-17.319791666666667,589.6152708333333
SE-Hmr,2021-07-24,15.195625,15.602395833333333,-18.378125,497.3173958333333
SE-Hmr,2021-07-25,19.61145833333333,16.6240625,-19.171875,542.1413333333334
SE-Hmr,2021-07-26,19.740833333333335,17.2821875,-19.123958333333334,463.212375
SE-Hmr,2021-07-27,20.188541666666666,17.435,-18.821875,574.1324166666667
SE-Hmr,2021-07-28,21.902291666666667,17.776145833333334,-19.929166666666667,544.6611458333333
SE-Hmr,2021-07-29,19.66,17.629583333333333,-20.505208333333332,532.1051041666667
SE-Hmr,2021-07-30,13.948125,16.415520833333332,-11.74270833333332,88.25679166666667
SE-Hmr,2021-07-31,14.680208333333333,16.461979166666666,-3.6135416666666273,289.72270833333334
SE-Hmr,2021-08-01,13.244166666666667,16.771458333333335,-4.863541666666638,394.6926875
SE-Hmr,2021-08-02,10.786979166666667,15.546354166666667,-6.429166666666653,561.924
SE-Hmr,2021-08-03,11.768166666666668,15.268333333333333,-7.669791666666657,543.9759791666667
SE-Hmr,2021-08-04,12.093916666666667,15.011979166666666,-8.748958333333333,541.0235
SE-Hmr,2021-08-05,14.162708333333333,15.12875,-9.77291666666667,495.4031875
SE-Hmr,2021-08-06,15.143541666666668,15.271354166666667,-10.8,544.7483958333333
SE-Hmr,2021-08-07,16.203541666666666,15.305520833333333,-11.777083333333334,510.1795833333333
SE-Hmr,2021-08-08,13.817291666666666,14.922708333333333,-10.938541666666667,87.44164583333334
SE-Hmr,2021-08-09,14.352916666666667,14.877916666666666,-7.243749999999991,74.99016666666667
SE-Hmr,2021-08-10,15.540208333333334,15.474583333333333,-6.187499999999981,313.23597916666665
SE-Hmr,2021-08-11,16.045416666666668,16.52,-4.870833333333303,428.4743125
SE-Hmr,2021-08-12,15.557916666666667,16.487708333333334,-5.89062499999998,519.74175
SE-Hmr,2021-08-13,15.793333333333333,16.55677083333333,-6.77395833333332,429.61266666666666
SE-Hmr,2021-08-14,14.161458333333334,16.3475,-4.762499999999977,148.52214583333333
SE-Hmr,2021-08-15,12.914375,15.994375,-4.821874999999979,294.8010208333333
SE-Hmr,2021-08-16,11.719791666666667,15.696458333333334,-5.252083333333314,124.12779166666667
SE-Hmr,2021-08-17,11.587083333333332,15.110520833333334,-5.636458333333313,338.61977083333335
SE-Hmr,2021-08-18,13.14625,15.271458333333333,-1.9166666666666463,169.64541666666668
SE-Hmr,2021-08-19,11.982916666666666,15.178854166666667,-1.9229166666666466,178.27097916666668
SE-Hmr,2021-08-20,12.58625,14.898333333333333,-2.544791666666647,268.9856041666667
SE-Hmr,2021-08-21,10.48625,14.47125,-3.0302083333333134,249.21520833333332
SE-Hmr,2021-08-22,10.265125,13.8065625,-3.5406249999999755,266.0135833333333
SE-Hmr,2021-08-23,7.4264375000000005,13.003125,-4.092708333333305,300.5235416666667
SE-Hmr,2021-08-24,8.332666666666666,12.0259375,-4.298958333333307,337.9345416666667
SE-Hmr,2021-08-25,8.928166666666666,11.874583333333334,-1.79374999999998,65.25066666666666
SE-Hmr,2021-08-26,8.012708333333334,10.8646875,-2.17499999999998,120.6034375
SE-Hmr,2021-08-27,10.135770833333334,11.656770833333333,-3.019791666666647,363.7311875
SE-Hmr,2021-08-28,10.943708333333333,12.516979166666667,-3.7749999999999733,415.0240416666667
SE-Hmr,2021-08-29,12.1548125,13.1484375,-4.391666666666642,386.1114166666667
SE-Hmr,2021-08-30,12.204291666666666,13.484895833333333,-5.001041666666647,396.91439583333334
SE-Hmr,2021-08-31,11.555229166666667,13.1159375,-5.516666666666652,344.0519791666667
SE-Hmr,2021-09-01,8.652270833333333,11.604583333333334,-5.790625,287.10925
SE-Hmr,2021-09-02,6.8762083333333335,10.551145833333333,-5.538541666666667,134.43614583333334
SE-Hmr,2021-09-03,6.900229166666667,9.916979166666666,-5.297916666666667,335.40233333333333
SE-Hmr,2021-09-04,5.9716458333333335,9.683645833333333,-6.065625000000001,322.34802083333335
SE-Hmr,2021-09-05,7.521895833333334,9.669895833333333,-6.639583333333343,206.00220833333333
SE-Hmr,2021-09-06,10.081125,10.224270833333334,-7.109375000000014,312.61608333333334
SE-Hmr,2021-09-07,11.923125,10.73375,-6.960937500000014,106.74860416666667
SE-Hmr,2021-09-08,13.8930368275687,11.28633941166758,-6.702225875586341,267.64291174882374
